iter	Logloss
0	0.6869386706
1	0.6803255208
2	0.673535681
3	0.6670990163
4	0.6612881639
5	0.6553585416
6	0.6499833913
7	0.6447400138
8	0.639638865
9	0.6343844175
10	0.6293685635
11	0.6237625299
12	0.6182296679
13	0.6128496459
14	0.6078005615
15	0.6037181984
16	0.5987536749
17	0.5943911704
18	0.589952314
19	0.5854616869
20	0.5816769018
21	0.5779287435
22	0.5734314593
23	0.5694947846
24	0.5652559086
25	0.5626901514
26	0.5601422033
27	0.5565649722
28	0.5526219221
29	0.5493949781
30	0.5464777572
31	0.5436621106
32	0.5405226545
33	0.5371469511
34	0.5344221351
35	0.5314564445
36	0.5285888196
37	0.5260002381
38	0.5238251381
39	0.5213441516
40	0.5184458709
41	0.5171141811
42	0.5140404683
43	0.5117117343
44	0.5104604567
45	0.5079427347
46	0.5053761549
47	0.5039953962
48	0.5011439614
49	0.4988704565
50	0.4970348273
51	0.4945710985
52	0.4921203326
53	0.4903700572
54	0.4880926262
55	0.4860759622
56	0.4840652679
57	0.4820105521
58	0.4802466998
59	0.4786500288
60	0.4769063441
61	0.4748472829
62	0.4728377722
63	0.47126468
64	0.469480107
65	0.467785664
66	0.4660727734
67	0.4644470198
68	0.4628609686
69	0.4613764821
70	0.4599954486
71	0.4583789563
72	0.4568059571
73	0.4557780088
74	0.4541533388
75	0.4527114778
76	0.4514027654
77	0.4506250035
78	0.4494971337
79	0.4485831775
80	0.4472281681
81	0.4457895717
82	0.4445408194
83	0.4435526723
84	0.4424228409
85	0.4409597029
86	0.439678963
87	0.4389703531
88	0.437916991
89	0.4369121512
90	0.4359237821
91	0.4357100539
92	0.4351079247
93	0.4340877714
94	0.4333381664
95	0.4323080438
96	0.4311077765
97	0.4301794832
98	0.4293198899
99	0.4282747978
100	0.4273624425
101	0.4267989194
102	0.4264361623
103	0.4258039965
104	0.4248417008
105	0.4243426462
106	0.4238194021
107	0.4232933599
108	0.4223760739
109	0.4214790138
110	0.4205820285
111	0.4197219902
112	0.418772731
113	0.4181744379
