iter	Passed	Remaining
0	2	2190
1	4	2139
2	6	2026
3	7	1956
4	9	1902
5	10	1690
6	10	1521
7	11	1410
8	11	1319
9	12	1274
10	14	1281
11	15	1280
12	16	1278
13	17	1251
14	18	1242
15	20	1236
16	21	1241
17	22	1220
18	24	1245
19	26	1317
20	28	1313
21	29	1301
22	30	1277
23	30	1259
24	32	1251
25	33	1247
26	34	1231
27	35	1218
28	36	1213
29	37	1197
30	38	1192
31	39	1184
32	39	1169
33	40	1162
34	41	1152
35	42	1148
36	45	1183
37	46	1179
38	47	1176
39	48	1162
40	49	1146
41	49	1127
42	49	1109
43	50	1092
44	50	1076
45	51	1060
46	51	1045
47	51	1030
48	52	1024
49	54	1029
50	55	1024
51	55	1016
52	57	1031
53	58	1022
54	58	1012
55	59	1002
56	59	992
57	60	983
58	61	974
59	61	966
60	62	958
61	62	950
62	63	942
63	63	934
64	64	926
65	64	918
66	65	910
67	65	903
68	66	894
69	66	886
70	67	878
71	67	872
72	68	865
73	68	859
74	69	853
75	69	847
76	70	841
77	70	835
78	71	829
79	71	823
80	72	821
81	73	820
82	74	819
83	74	813
84	75	808
85	75	803
86	76	797
87	76	792
88	76	788
89	77	784
90	78	780
91	78	776
92	79	772
93	79	767
94	80	763
95	80	759
96	81	754
97	81	749
98	81	745
99	82	742
100	83	739
101	83	735
102	84	731
103	84	728
104	85	724
105	85	721
106	85	717
107	86	713
108	86	710
109	87	706
110	87	703
111	88	699
112	88	696
113	89	692
114	89	689
115	90	686
116	90	682
117	90	679
118	91	675
119	91	672
120	92	669
121	92	666
122	93	663
123	93	661
124	94	658
125	94	655
126	94	652
127	95	650
128	95	647
129	96	644
130	96	642
131	97	639
132	97	636
133	98	634
134	98	632
135	99	629
136	99	627
137	100	624
138	100	622
139	100	620
140	101	617
141	101	615
142	102	613
143	102	611
144	103	609
145	103	607
146	104	604
147	104	602
148	105	600
149	105	598
150	106	596
151	106	594
152	107	592
153	107	590
154	107	588
155	108	586
156	108	584
157	109	582
158	109	580
159	110	578
160	110	577
161	111	575
162	111	573
163	112	571
164	112	569
165	113	567
166	113	566
167	113	564
168	114	562
169	114	560
170	115	558
171	115	556
172	116	555
173	116	553
174	117	551
175	117	550
176	117	548
177	118	546
178	118	545
179	119	543
180	119	541
181	120	540
182	120	538
183	121	537
184	121	535
185	122	534
186	122	532
187	122	530
188	123	529
189	123	527
190	124	526
191	124	524
192	125	522
193	125	522
194	127	527
195	128	525
196	128	524
197	129	522
198	129	521
199	130	520
200	130	518
201	130	517
202	131	516
203	131	514
204	132	513
205	132	511
206	133	510
207	133	509
208	134	507
209	134	506
210	135	505
211	135	503
212	136	502
213	136	501
214	137	501
215	137	500
216	138	499
217	138	497
218	139	496
219	139	495
220	140	493
221	140	492
222	141	491
223	141	490
224	141	488
225	142	487
226	142	486
227	143	485
228	143	484
229	144	483
230	144	481
231	145	480
232	145	479
233	146	478
234	146	477
235	147	476
236	147	475
237	148	474
238	148	472
239	148	471
240	149	470
241	149	469
242	150	467
243	150	466
244	150	465
245	151	463
246	151	462
247	152	461
248	152	460
249	153	459
250	153	458
251	154	457
252	154	456
253	154	455
254	155	454
255	155	453
256	156	452
257	156	451
258	157	449
259	157	448
260	158	447
261	158	446
262	159	445
263	159	444
264	159	443
265	160	442
266	160	441
267	161	440
268	161	439
269	162	438
270	162	437
271	163	436
272	163	435
273	164	434
274	164	433
275	164	432
276	165	431
277	165	430
278	166	429
279	166	428
280	167	427
281	167	426
282	167	425
283	168	424
284	168	423
285	169	422
286	169	421
287	170	420
288	170	420
289	171	419
290	171	418
291	172	417
292	172	416
293	173	415
294	173	414
295	173	413
296	174	412
297	174	412
298	175	411
299	175	410
300	176	409
301	176	408
302	177	408
303	177	407
304	178	406
305	178	405
306	179	405
307	179	404
308	180	403
309	180	402
310	181	401
311	181	400
312	182	399
313	182	399
314	183	398
315	183	397
316	185	398
317	186	398
318	186	398
319	191	407
320	192	407
321	193	407
322	194	407
323	195	407
324	196	407
325	196	406
326	197	406
327	198	406
328	199	406
329	200	406
330	201	406
331	201	406
332	202	406
333	203	406
334	204	406
335	205	405
336	207	409
337	211	414
338	212	414
339	213	414
340	214	414
341	215	415
342	216	414
343	217	414
344	218	414
345	219	414
346	219	413
347	220	413
348	222	414
349	223	414
350	224	414
351	224	414
352	225	413
353	226	413
354	227	412
355	228	413
356	229	413
357	236	423
358	237	423
359	238	423
360	238	422
361	239	422
362	239	420
363	240	419
364	240	418
365	241	417
366	241	416
367	242	415
368	242	414
369	242	413
370	243	412
371	243	411
372	244	410
373	244	409
374	245	408
375	245	407
376	245	406
377	246	405
378	246	404
379	247	403
380	247	402
381	248	401
382	248	400
383	249	399
384	249	398
385	249	397
386	250	396
387	250	395
388	251	394
389	251	393
390	252	393
391	253	393
392	254	393
393	255	392
394	255	391
395	256	391
396	257	391
397	258	390
398	258	389
399	259	388
400	259	388
401	260	387
402	260	386
403	261	385
404	261	384
405	262	383
406	262	383
407	263	382
408	263	381
409	264	380
410	264	379
411	265	378
412	265	377
413	266	376
414	266	375
415	267	375
416	267	374
417	268	373
418	268	372
419	268	371
420	269	370
421	269	369
422	270	368
423	270	367
424	271	367
425	271	366
426	272	365
427	272	364
428	273	363
429	273	362
430	274	361
431	274	361
432	275	360
433	275	359
434	275	358
435	276	357
436	276	356
437	277	355
438	277	355
439	278	354
440	278	353
441	279	352
442	279	351
443	280	350
444	280	350
445	281	349
446	281	348
447	281	347
448	282	346
449	282	345
450	283	344
451	283	343
452	284	343
453	284	342
454	285	341
455	285	340
456	286	339
457	286	339
458	287	338
459	287	337
460	288	336
461	288	336
462	289	335
463	289	334
464	290	333
465	290	333
466	291	332
467	291	331
468	292	330
469	292	330
470	293	329
471	293	328
472	294	327
473	294	326
474	295	326
475	295	325
476	296	325
477	296	324
478	297	323
479	297	322
480	298	321
481	299	321
482	300	321
483	300	320
484	301	320
485	301	319
486	302	319
487	303	318
488	304	318
489	304	317
490	305	316
491	305	315
492	306	314
493	306	314
494	307	313
495	307	312
496	308	312
497	309	311
498	309	310
499	310	310
500	310	309
501	311	308
502	311	308
503	312	307
504	313	307
505	313	306
506	314	305
507	314	304
508	315	304
509	315	303
510	316	302
511	317	302
512	317	301
513	318	301
514	318	300
515	319	299
516	320	299
517	320	298
518	321	297
519	321	296
520	321	296
521	322	295
522	323	294
523	323	294
524	324	293
525	324	292
526	325	292
527	325	291
528	326	290
529	326	289
530	327	289
531	327	288
532	328	287
533	328	286
534	329	286
535	329	285
536	330	284
537	330	284
538	331	283
539	332	283
540	332	282
541	333	281
542	333	281
543	334	280
544	335	279
545	335	279
546	336	278
547	336	277
548	337	276
549	337	276
550	338	275
551	338	274
552	339	274
553	339	273
554	339	272
555	340	272
556	341	271
557	341	270
558	342	270
559	343	269
560	343	268
561	344	268
562	344	267
563	345	267
564	346	266
565	346	266
566	347	265
567	347	264
568	348	264
569	349	263
570	350	263
571	350	262
572	351	262
573	352	261
574	353	261
575	354	260
576	355	260
577	355	259
578	356	258
579	356	258
580	356	257
581	357	256
582	357	255
583	358	255
584	358	254
585	359	253
586	359	252
587	359	252
588	360	251
589	360	250
590	361	250
591	361	249
592	362	248
593	362	247
594	362	247
595	363	246
596	364	245
597	364	245
598	365	244
599	365	243
600	366	243
601	367	242
602	367	242
603	368	241
604	369	241
605	370	240
606	370	240
607	371	239
608	373	239
609	373	238
610	374	238
611	375	238
612	376	237
613	377	237
614	378	236
615	379	236
616	380	236
617	381	235
618	381	235
619	382	234
620	383	234
621	384	233
622	385	233
623	385	232
624	386	232
625	387	231
626	388	231
627	390	231
628	390	230
629	391	229
630	392	229
631	393	229
632	394	228
633	394	227
634	395	227
635	395	226
636	396	225
637	396	224
638	397	224
639	397	223
640	398	223
641	398	222
642	399	221
643	400	221
644	400	220
645	401	219
646	401	219
647	402	218
648	403	218
649	404	217
650	404	217
651	405	216
652	405	215
653	406	214
654	406	214
655	407	213
656	407	212
657	408	212
658	408	211
659	409	210
660	409	210
661	409	209
662	410	208
663	410	207
664	411	207
665	411	206
666	412	205
667	412	205
668	413	204
669	414	204
670	414	203
671	415	202
672	416	202
673	416	201
674	417	200
675	417	200
676	418	199
677	419	199
678	419	198
679	420	197
680	420	197
681	421	196
682	421	195
683	422	195
684	422	194
685	423	193
686	423	193
687	424	192
688	424	191
689	425	191
690	425	190
691	426	189
692	426	189
693	427	188
694	427	187
695	427	186
696	428	186
697	428	185
698	429	184
699	430	184
700	430	183
701	431	182
702	431	182
703	431	181
704	432	180
705	432	180
706	433	179
707	433	178
708	434	178
709	434	177
710	435	177
711	436	176
712	436	175
713	436	175
714	437	174
715	438	173
716	438	173
717	438	172
718	439	171
719	439	171
720	440	170
721	440	169
722	441	169
723	441	168
724	442	167
725	442	167
726	443	166
727	443	165
728	444	165
729	444	164
730	445	163
731	445	163
732	446	162
733	446	161
734	446	161
735	447	160
736	447	159
737	448	159
738	448	158
739	449	157
740	449	157
741	450	156
742	450	155
743	451	155
744	451	154
745	452	153
746	452	153
747	453	152
748	453	151
749	454	151
750	454	150
751	454	150
752	455	149
753	455	148
754	456	148
755	456	147
756	457	146
757	457	146
758	458	145
759	458	144
760	459	144
761	459	143
762	460	142
763	460	142
764	461	141
765	462	141
766	462	140
767	462	139
768	463	139
769	464	138
770	464	138
771	465	137
772	466	136
773	466	136
774	467	135
775	468	135
776	469	134
777	469	134
778	470	133
779	471	132
780	471	132
781	472	131
782	472	130
783	473	130
784	473	129
785	473	129
786	474	128
787	474	127
788	475	127
789	475	126
790	476	125
791	476	125
792	477	124
793	477	123
794	478	123
795	478	122
796	479	122
797	479	121
798	480	120
799	480	120
800	481	119
801	481	118
802	482	118
803	482	117
804	483	117
805	483	116
806	484	115
807	484	115
808	485	114
809	485	113
810	486	113
811	486	112
812	487	112
813	488	111
814	488	110
815	489	110
816	489	109
817	490	109
818	490	108
819	491	107
820	491	107
821	492	106
822	492	105
823	493	105
824	493	104
825	494	104
826	494	103
827	494	102
828	495	102
829	495	101
830	496	100
831	496	100
832	497	99
833	497	99
834	498	98
835	499	97
836	499	97
837	500	96
838	500	96
839	501	95
840	501	94
841	502	94
842	502	93
843	503	93
844	503	92
845	504	91
846	505	91
847	506	90
848	506	90
849	506	89
850	507	88
851	507	88
852	508	87
853	508	87
854	509	86
855	509	85
856	510	85
857	510	84
858	511	83
859	511	83
860	512	82
861	513	82
862	513	81
863	514	81
864	515	80
865	515	79
866	516	79
867	517	78
868	518	78
869	518	77
870	519	76
871	520	76
872	520	75
873	521	75
874	521	74
875	522	73
876	523	73
877	523	72
878	524	72
879	525	71
880	525	71
881	526	70
882	526	69
883	527	69
884	528	68
885	528	68
886	529	67
887	530	66
888	530	66
889	531	65
890	531	65
891	532	64
892	532	63
893	533	63
894	533	62
895	534	62
896	534	61
897	535	60
898	535	60
899	536	59
900	536	58
901	537	58
902	537	57
903	538	57
904	538	56
905	538	55
906	539	55
907	539	54
908	540	54
909	540	53
910	541	52
911	541	52
912	542	51
913	542	51
914	543	50
915	543	49
916	544	49
917	544	48
918	545	48
919	545	47
920	546	46
921	546	46
922	547	45
923	547	45
924	548	44
925	549	43
926	549	43
927	550	42
928	550	42
929	551	41
930	551	40
931	552	40
932	552	39
933	553	39
934	553	38
935	554	37
936	555	37
937	555	36
938	556	36
939	556	35
940	557	34
941	557	34
942	558	33
943	558	33
944	559	32
945	560	32
946	562	31
947	562	30
948	564	30
949	565	29
950	566	29
951	567	28
952	568	28
953	568	27
954	569	26
955	570	26
956	571	25
957	572	25
958	572	24
959	573	23
960	574	23
961	575	22
962	576	22
963	576	21
964	577	20
965	578	20
966	579	19
967	580	19
968	580	18
969	581	17
970	581	17
971	582	16
972	582	16
973	582	15
974	583	14
975	583	14
976	584	13
977	584	13
978	585	12
979	585	11
980	585	11
981	586	10
982	586	10
983	587	9
984	587	8
985	588	8
986	588	7
987	589	7
988	589	6
989	589	5
990	590	5
991	590	4
992	591	4
993	591	3
994	592	2
995	592	2
996	593	1
997	594	1
998	595	0
999	596	0
